Category (by HDI rank),Mean life expectancy at birth,Mean GDI
0-20,82.78,"62,388.2"
20-40,79.4,"41,717.0"
40-60,74.97,"33,694.58"
60-80,74.01,"17,710.05"
80-100,71.98,"12,099.11"
100-120,69.63,"10,501.6"
120-140,69.12,"6,190.23"
140-160,63.84,"4,545.5"
160+,61.88,"2,632.3"
